"1624007496305090566 2023-02-10 11:28:54 +0000 <inna4real> @jedeckert308 @serhiyprytula @SpaceX @Gwynne_Shotwell #nationalizespacex
",innareal nationalizespacex,0,0,0.0,neutral
"1623311301819912192 2023-02-08 13:22:28 +0000 <ShadowEarthdog> @jasondebolt 2/ writing a future focussed curriculum that deeply understood what sort of future Tesla SpaceX MPs is creating.
",shadowearthdog writing a future focussed curriculum that deeply understood what sort of future tesla spacex mps is creating,0,0,0.296,positive
"1622936680444596224 2023-02-07 12:33:51 +0000 <s354432675> @teslaownersSV @SpaceX @NASA @elonmusk 🧡
",s 🧡,0,0,0.0,neutral
"1624003400332455937 2023-02-10 11:12:37 +0000 <CaseySLowe1> Will Geometric Energy Corporation and SpaceX Use Artificial Intelligence in the Doge-1 Mission to the Moon?🪙🚀  ▶️  https://t.co/2qQH9Rk2tX   #dogecoin #doge #doge1
",caseyslowe will geometric energy corporation and spacex use artificial intelligence in the doge mission to the moon🪙🚀 ▶️ dogecoin doge doge,0,0,0.6369,positive
"1623691615842844675 2023-02-09 14:33:42 +0000 <Mark35903600> SpaceX 33-Engine Static Fire of Booster 7  https://t.co/gwxJP8PPCY via @YouTube
",mark spacex engine static fire of booster via,0,0,-0.34,negative
"1623352838884655106 2023-02-08 16:07:31 +0000 <eyupexe> @SpaceX @Hispasat Turkey There is an earthquake in Turkey and political leaders have restricted access, we can't hear anything please help @elonmusk  Earthquake
",eyupexe turkey there is an earthquake in turkey and political leaders have restricted access we cant hear anything please help earthquake,0,0,-0.2173,negative
"1623710774332997635 2023-02-09 15:49:50 +0000 <MarkWallaceGlos> Fury in Ukraine as Elon Musk’s SpaceX limits Starlink use for drones  https://t.co/F9kVUWlN1N
",markwallaceglos fury in ukraine as elon musk’s spacex limits starlink use for drones,0,0,-0.5719,negative
"1624005036442361920 2023-02-10 11:19:07 +0000 <EpletsEssex> Fury in Ukraine as Elon Musk’s SpaceX limits Starlink use for drones  https://t.co/A3xnbdPPjz
",epletsessex fury in ukraine as elon musk’s spacex limits starlink use for drones,0,0,-0.5719,negative
"1623986364957052932 2023-02-10 10:04:56 +0000 <Mykola65109280> @lebon80 @modus88308454 @SpaceX Any action on Ukrainian land is defensive by the defenition. Moreover, most of starlinks were bough and regularly paid by private persons - volunteers. They should be able to use internet without any restrictions
",mykola any action on ukrainian land is defensive by the defenition moreover most of starlinks were bough and regularly paid by private persons volunteers they should be able to use internet without any restrictions,0,0,0.0258,positive
"1622973817122594817 2023-02-07 15:01:26 +0000 <txqaxs> @elonmusk @emin_adin @SpaceX 1400 lives were lost in Syria and the suffering continues as sanctions limit aid efforts. It's time to come together and make a difference, not for politics, but for humanity. End the sanctions. #stopsanctionsonsyrians
",txqaxs lives were lost in syria and the suffering continues as sanctions limit aid efforts its time to come together and make a difference not for politics but for humanity end the sanctions stopsanctionsonsyrians,0,0,-0.4019,negative
"1622913591937490944 2023-02-07 11:02:07 +0000 <Rihamuhamd> @elonmusk @considercosmos @SpaceX As there is no aliens yet !!
",rihamuhamd as there is no aliens yet,0,0,-0.296,negative
"1622971937004879875 2023-02-07 14:53:57 +0000 <DogeClutch> @SpaceX @Hispasat 🚀🚀🚀
",dogeclutch 🚀🚀🚀,0,0,0.0,neutral
"1623667387320115200 2023-02-09 12:57:26 +0000 <dinosavur> @marsmallowshiro mending dia urus tesla sm spacex
",dinosavur mending dia urus tesla sm spacex,0,0,0.0,neutral
"1624013739837071360 2023-02-10 11:53:42 +0000 <B2Investor> Fury in Ukraine as Elon Musk’s SpaceX limits Starlink use for drones  https://t.co/OMS1bbI4LQ
",binvestor fury in ukraine as elon musk’s spacex limits starlink use for drones,0,0,-0.5719,negative
"1622978886639276035 2023-02-07 15:21:34 +0000 <DoodleReagan> @elonmusk @considercosmos @SpaceX Wow just WOW 🤩 !!
",doodlereagan wow just wow 🤩,1,0,1.8225,positive
"1623690996482711553 2023-02-09 14:31:14 +0000 <tnatw> SpaceX curbed Ukraine's use of Starlink internet for drones -company president  https://t.co/OI4NyAS89N
",tnatw spacex curbed ukraines use of starlink internet for drones company president,0,0,0.0,neutral
"1623684519382470657 2023-02-09 14:05:30 +0000 <torontoshka> @SpaceX Looks like bloody money make more sense for @spacex than thousands of lives. Do you feel smell of blood @elonmusk ?
",torontoshka looks like bloody money make more sense for than thousands of lives do you feel smell of blood,0,0,-0.1027,negative
